,,Team1,Team1Acquired1,Team1Acquired2,Team1Acquired3,Team1Acquired4,Team1Acquired5,Team1Acquired6,,Team2,Team2 Acquired1,Team2Acquired2,Team2Acquired3,Team2Acquired4,Team2Acquired5,Team2Acquired6
2-Aug,2022,Minnesota Twins,Sandy Leon (C),,,,,,,Cleveland Indians,Ian Hamilton (RP),,,,,
2-Aug,2022,Cincinnati Reds,Victor Acosta (SS),,,,,,,San Diego Padres,"Brandon Drury (2B)($316,480)",,,,,
2-Aug,2022,Philadelphia Phillies,"David Robertson (RP)($1,230,784)",,,,,,,Chicago Cubs,Ben Brown (P),,,,,
2-Aug,2022,New York Mets,"Darin Ruf (1B)($1,054,976)",,,,,,,San Fancisco Giants,"J.D. Davis (3B)($970,560)",Nick Zwack (P),Carson Seymour (P),Thomas Szapucki (RP),,
2-Aug,2022,Minnesota Twins,"Tyler Mahle (SP)($1,828,544)",,,,,,,Cincinnati Reds,Spencer Steer (3B),Christian Encarnacion-Strand,Steven Hajjar (P),,,
2-Aug,2022,Los Angeles Angels,Logan O'Hoppe (C),,,,,,,Philadelphia Phillies,"Brandon Marsh (CF) ($249,664)",,,,,
2-Aug,2022,Washington Nationals,"MacKenzie Gore (SP)($246,144)","CJ Abrams (SS)($246,144)",Robert Hassell (OF),James Wood (OF),Jarlin Susana (P),"Luke Voit (1B)($1,916,480)",,San Diego Padres,"Juan Soto (LF)($6,013,184)","Josh Bell (1B) ($3,516,480)",,,,
2-Aug,2022,Toronto Blue Jays,"Zach Pop (RP)($246,144)","Anthony Bass (RP)($1,054,976)",PTBN,,,,,Miami Marlins,Jordan Groshans (SS),,,,,
2-Aug,2022,Baltimore Orioles,Cade Povich (P),Yennier Cano (RP),Juan Nunez (),Juan Rojas (),,,,Minnesota Twins,"Jorge Lopez (RP)($527,488)",,,,,
2-Aug,2022,Texas Rangers,Mark Mathias (2B),Antoine Kelly (P),,,,,,Milwaukee Brewers,"Matt Bush (RP)($290,112)",,,,,
2-Aug,2022,Atlanta Braves,"Jake Odorizzi (SP)($1,758,272)",,,,,,,Houston Astros,"Will Smith (RP)($4,571,456)",,,,,
2-Aug,2022,Pittsburgh Pirates,Johan Oviedo (SP),Malcom Nunez (3B),,,,,,St. Louis Cardinals,Jose Quintana (SP),"Chris Stratton (RP)($949,440)",,,,
2-Aug,2022,Detroit Tigers,Kris Anglin (P),,,,,,,Alanta Braves,"Robbie Grossman (RF)($1,758,272)",,,,,
1-Aug,2022,New York Yankees,"Frankie Montas (SP)($1,794,650)","Lou Trivino (RP)($1,071,460)",,,,,,Oakland Athletics,JP Sears (SP),Ken Waldichuk (SP),Luis Medina (SP),Cooper Bowman (2B),,
1-Aug,2022,Boston Red Sox,Enmanuel Valdez (2B),Wilyer Abreu (OF),,,,,,Houston Astros,"Christian Vazquez (C)($7,000,000)",,,,,
1-Aug,2022,Tampa Bay Rays,Jeremy Walker (RP),,,,,,,San Fancisco Giants,Ford Proctor (SS),,,,,
1-Aug,2022,Boston Red Sox,"Reese McGuire (C)($722,400)",,,,,,,Chicago White Sox,"Jake Diekman (RP)($1,230,784)",,,,,
1-Aug,2022,Boston Red Sox,"Tommy Pham (LF)($6,000,000)",,,,,,,Cincinnati Reds,TBD,,,,,
1-Aug,2022,Baltimore Orioles,Seth Johnson (P),,,,,,,Tampa Bay Rays ,,,,,,
1-Aug,2022,Tampa Bay Rays,Jose Siri (CF) ,,,,,,,Houston Astros,Jayden Murray (P),,,,,
1-Aug,2022,Baltimore Orioles,Chayce McDermott (P),,,,,,,Houston Astros,Trey Mancini (OF),,,,,
1-Aug,2022,Tampa Bay Rays,Garrett Cleavinger (RP),,,,,,,Los Angeles Dodgers,German Tapia (),,,,,
1-Aug,2022,Kansas City Royals,Anthony Misiewicz (RP),,,,,,,Seattle Mariners,cash considerations,,,,,
1-Aug,2022,Milwaukee Brewers,"Taylor Rogers (RP)($250,000)",Robert Gasser (P),Esteury Ruiz (CF),"Dinelson Lamet (RP)($1,705,357)",,,,San Diego Padres,"Josh Hader (RP)($3,928,600)",,,,,
1-Aug,2022,New York Yankees,"Scott Effross (RP)($250,582)",,,,,,,Chicago Cubs,Hayden Wesneski (SP),,,,,
1-Aug,2022,Atlanta Braves,"Ehire Adrianza (SS)($535,730)",,,,,,,Washington Nationals,Trey Harris (2B),,,,,
1-Aug,2022,Chicago Cubs,Raynel Espinal (P),,,,,,,San Fancisco Giants,Dixon Machado (2B),,,,,
1-Aug,2022,Kansas City Royals,"Luke Weaver (SP)($2,875,000)",,,,,,,Arizona Diamondbacks,Emmanuel Rivera (3B),,,,,
30-Jul,2022,Philadelphia Phillies,Edmundo Sosa (3B),,,,,,,St. Louis Cardinals,JoJo Romero (RP),,,,,
30-Jul,2022,Chicago Cubs,Zach McKinstry (2B),,,,,,,Los Angeles Dodgers,"Chris Martin (RP)($920,312)",,,,,
30-Jul,2022,Tampa Bay Rays,"David Peralta (LF)($2,901,096)",,,,,,,Arizona Diamondbacks,Christian Cerda (),,,,,
29-Jul,2022,Seattle Mariners,"Luis Castillo (SP)($2,705,795)",,,,,,,Cincinnati Reds,Noelvi Marte (SS),Levi Stoudt (P),Edwin Arroyo (SS),Andrew Moore (P),,
28-Jul,2022,New York Mets,"Tyler Naquin (LF)($1,503,820)",Phillip Diehl (RP),,,,,,Cincinnati Reds,Jose Acuna (),Hector Rodriguez (),,,,
28-Jul,2022,New York Yankees,"Andrew Benintendi (LF)($3,222,507)",,,,,,,Kansas City Royals,Beck Way (P),T.J. Sikkema (P),Chandler Champlain (P),,,
25-Jul,2022,Boston Red Sox,Abraham Almonte (CF),,,,,,,Milwaukee Brewers,cash considerations,,,,,
23-Jul,2022,New York Mets,Michael Perez (C),,,,,,,Pittsburgh Pirates,cash considerations,,,,,
22-Jul,2022,New York Mets,"Dan Vogelbach (DH)($329,700)",,,,,,,Pittsburgh Pirates,Colin Holderman (RP),,,,,
18-Jul,2022,San Francisco Giants,Alex Young (RP),,,,,,,Cleveland Indians,cash considerations,,,,,
16-Jul,2022,Toronto Blue Jays,Foster Griffin (RP),,,,,,,Kansas City Royals,Jonatan Bernal (),,,,,
14-Jul,2022,New York Yankees,Tyler Wade (SS),,,,,,,Los Angeles Angels,future considerations,,,,,
11-Jul,2022,Kansas City Royals,Drew Waters (OF),Andrew Hoffman (P),C.J. Alexander (3B),,,,,Alanta Braves,2022 1st round pick,,,,,
10-Jul,2022,Baltimore Orioles,cash considerations,,,,,,,Detroit Tigers,Cody Sedlock (P),,,,,
10-Jul,2022,Atlanta Braves,Robinson Cano (DH),,,,,,,San Diego Padres,cash considerations,,,,,
9-Jul,2022,Tampa Bay Rays,"Christian Bethancourt (C)($338,448)",,,,,,,Oakland Athletics,Cal Stevenson (OF),Christian Fernandez (),,,,
8-Jul,2022,Pittsburgh Pirates,Yohan Ramirez (RP),,,,,,,Cleveland Indians,cash considerations,,,,,
7-Jul,2022,San Francisco Giants,Tobias Myers (P),,,,,,,Cleveland Indians,cash considerations,,,,,
6-Jul,2022,Detroit Tigers,Jesus Liranzo (),,,,,,,Arizona Diamondbacks,TBD,,,,,
4-Jul,2022,Los Angeles Angels,Touki Toussaint (RP),,,,,,,Alanta Braves,cash considerations,,,,,
3-Jul,2022,New York Yankees,cash considerations,,,,,,,Pittsburgh Pirates,Manny Banuelos (RP),,,,,
3-Jul,2022,Philadelphia Phillies,cash considerations,,,,,,,Colorado Rockies,Corey Oswalt (RP),,,,,
2-Jul,2022,Toronto Blue Jays,Anthony Banda (RP),,,,,,,Pittsburgh Pirates,cash considerations,,,,,
30-Jun,2022,Boston Red Sox,cash considerations,,,,,,,Alanta Braves,Silvino Bracho (RP),,,,,
28-Jun,2022,Cincinnati Reds,cash considerations,,,,,,,Cleveland Indians,Sandy Leon (C),,,,,
27-Jun,2022,Kansas City Royals,Wyatt Mills (RP),William Fleming (P),,,,,,Seattle Mariners,Carlos Santana (1B),cash considerations,,,,
25-Jun,2022,Seattle Mariners,Trey Amburgey (OF),,,,,,,Cincinnati Reds,cash considerations,,,,,
23-Jun,2022,New York Yankees,cash considerations,,,,,,,Tampa Bay Rays,David McKay (RP),,,,,
23-Jun,2022,Texas Rangers,Steven Duggar (CF),,,,,,,San Fancisco Giants,Willie Calhoun (OF),,,,,
23-Jun,2022,Baltimore Orioles,cash considerations,,,,,,,Milwaukee Brewers,Patrick Dorrian (3B),,,,,
21-Jun,2022,Chicago Cubs,cash considerations,,,,,,,Pittsburgh Pirates,Eric Stout (P),,,,,
21-Jun,2022,Detroit Tigers,TBD,,,,,,,Miami Marlins,Ryan Lavarnway (C),,,,,
20-Jun,2022,Detroit Tigers,cash considerations,,,,,,,Los Angeles Dodgers,Trayce Thompson (CF),,,,,
20-Jun,2022,Minnesota Twins,cash considerations,,,,,,,Philadelphia Phillies,Daniel Robertson (SS),,,,,
19-Jun,2022,Boston Red Sox,James Norwood (RP),,,,,,,Philadelphia Phillies,cash considerations,,,,,
11-Jun,2022,Detroit Tigers,Michael Mariot (C),,,,,,,Philadelphia Phillies,future consideraitons,,,,,
8-Jun,2022,Philadelphia Phillies,cash considerations,Michael Plassmeyer (SP),,,,,,San Fancisco Giants,Austin Wynns (C),,,,,
7-Jun,2022,Atlanta Braves,Jacob Webb (RP),,,,,,,Arizona Diamondbacks,cash considerations,,,,,
5-Jun,2022,Toronto Blue Jays,Tyler Keenan (3B),,,,,,,Seattle Mariners,Ryan Borucki (RP),,,,,
3-Jun,2022,New York Yankees,Jake Bauers (1B),,,,,,,Cincinnati Reds,cash considerations,,,,,
2-Jun,2022,Kansas City Royals,Albert Abreu (RP),,,,,,,Texas Rangers,Yohanse Morel (),,,,,
1-Jun,2022,Seattle Mariners,Riley O'Brien (P),,,,,,,Cincinnati Reds,Jose Luis Chevalier (SS),,,,,
31-May,2022,Minnesota Twins,John Andreoli (OF),,,,,,,Philadelphia Phillies,cash considerations,,,,,
30-May,2022,New York Mets,J.T. Riddle (SS),,,,,,,Cincinnati Reds,future considerations,,,,,
29-May,2022,Pittsburgh Pirates,Yu-Cheng Chang (SS),,,,,,,Cleveland Indians,cash considerations,,,,,
26-May,2022,San Francisco Giants,Hayden Cantrelle (SS),,,,,,,Miami Marlins,Lucas Williams (SS),,,,,
25-May,2022,New York Mets,Daniel Johnson (RF),,,,,,,Cleveland Indians,cash considerations,,,,,
18-May,2022,Baltimore Orioles,Luis Osorio (),,,,,,,Arizona Diamondbacks,Paul Fry (RP),,,,,
16-May,2022,Seattle Mariners,cash considerations,,,,,,,Cleveland Indians,Yohan Ramirez (RP),,,,,
14-May,2022,Seattle Mariners,Alex Blandino (3B),cash considerations,,,,,,San Fancisco Giants,Stuart Fairchild (OF),,,,,
14-May,2022,Houston Astros,Mauricio Dubon (2B),,,,,,,San Fancisco Giants,Michael Papierski (C),,,,,
12-May,2022,Seattle Mariners,Mike Ford (1B),,,,,,,San Fancisco Giants,cash considerations,,,,,
11-May,2022,Seattle Mariners,Prelander Berroa (P),,,,,,,San Fancisco Giants,Donnie Walton (SS),,,,,
10-May,2022,Philadelphia Phillies,Corey Oswalt (RP),,,,,,,San Fancisco Giants,future considerations,,,,,
30-Apr,2022,Seattle Mariners,cash considerations,,,,,,,San Fancisco Giants,Mike Ford (1B),,,,,
30-Apr,2022,San Francisco Giants,Isan Diaz (2B),,,,,,,Miami Marlins,cash considerations,,,,,
26-Apr,2022,Seattle Mariners,cash considerations,,,,,,,San Fancisco Giants,Kevin Padlo (3B),,,,,
25-Apr,2022,Kansas City Royals,Matt Peacock (P),,,,,,,Arizona Diamondbacks,cash considerations,,,,,
23-Apr,2022,Seattle Mariners,Stuart Fairchild (OF),,,,,,,Arizona Diamondbacks,cash considerations,,,,,
21-Apr,2022,Chicago Cubs,cash considerations,,,,,,,San Fancisco Giants,Cory Abbott (SP),,,,,
20-Apr,2022,Atlanta Braves,"Jesse Chavez (RP)($1,129,040)",cash considerations,,,,,,Chicago Cubs,"Sean Newcomb (RP)($812,898)",,,,,
19-Apr,2022,Philadelphia Phillies,Dustin Peterson (RF),,,,,,,Milwaukee Brewers,cash considerations,,,,,
16-Apr,2022,Tampa Bay Rays,Javier Guerra (RP),,,,,,,San Diego Padres,cash considerations,,,,,
13-Apr,2022,Detroit Tigers,Jamie Westbrook (LF),,,,,,,Milwaukee Brewers,cash considerations,,,,,
9-Apr,2022,Baltimore Orioles,cash considerations,,,,,,,Seattle Mariners,Mason McCoy (SS),,,,,
7-Apr,2022,Toronto Blue Jays,"Bradley Zimmer (RF)($1,300,000)",,,,,,,Cleveland Indians,Anthony Castro (P),,,,,
7-Apr,2022,New York Mets,Adonis Medina (RP),,,,,,,Pittsburgh Pirates,cash considerations,,,,,
7-Apr,2022,Texas Rangers,Jeferson Espinal (OF),,,,,,,Arizona Diamondbacks,Yonny Hernandez (SS),,,,,
7-Apr,2022,Minnesota Twins,"Chris Paddack (SP)($2,250,000)","Emilio Pagan (RP)($2,300,000)",Brayan Medina (P),,,,,San Diego Padres,"Taylor Rogers (RP)($700,000)",Brent Rooker (LF),,,,
6-Apr,2022,Milwaukee Brewers,"Victor Caratini (C)($2,000,000)",,,,,,,San Diego Padres,Korry Howell (SS),Brett Sullivan (C),,,,
6-Apr,2022,Milwaukee Brewers,Alex Jackson (C),,,,,,,Miami Marlins,Hayden Cantrelle (SS),Alexis Ramirez (),,,,
5-Apr,2022,Tampa Bay Rays,Isaac Paredes (3B),2022 2nd round pick,,,,,,Detroit Tigers,"Austin Meadows (LF)($4,000,000)",,,,,
4-Apr,2022,New York Yankees,David McKay (RP),,,,,,,Tampa Bay Rays,$1 ,,,,,
3-Apr,2022,Baltimore Orioles,Antonio Velez (P),Kevin Guerrero (OF),Yaqui Rivera (),2022 2nd round pick,,,,Miami Marlins,"Tanner Scott (RP)($1,050,000)",Cole Sulser (RP),,,,
3-Apr,2022,Oakland Athletics,Euribel Angeles (SS),Adrian Martinez (RP),,,,,,San Diego Padres,"Sean Manaea (SP)($9,750,000)",Aaron Holiday (P),,,,
3-Apr,2022,Toronto Blue Jays,Zack Collins (DH),,,,,,,Chicago White Sox,"Reese McGuire (C) ($722,400)",,,,,
3-Apr,2022,New York Yankees,"Miguel Castro (RP)($2,620,000)",,,,,,,New York Mets,"Joely Rodriguez (RP)($2,000,000)",,,,,
2-Apr,2022,New York Yankees,"Jose Trevino (C)($720,000)",,,,,,,Texas Rangers,Albert Abreu (RP),Robert Ahlstrom (P),,,,
1-Apr,2022,Chicago White Sox,A.J. Pollock (LF),,,,,,,Los Angeles Dodgers,Craig Kimbrel (RP),,,,,
31-Mar,2022,Pittsburgh Pirates,Josh VanMeter (2B),,,,,,,Arizona Diamondbacks,Listher Sosa (),,,,,
30-Mar,2022,Philadelphia Phillies,James Norwood (RP),,,,,,,San Diego Padres,Kelvin Pichardo (SS),cash considerations,,,,
29-Mar,2022,Seattle Mariners,Jesse Winker (RF),Eugenio Suarez (3B),,,,,,Cincinnati Reds,Justin Dunn (SP),Jake Fraley (RF),Brandon Williamson (P),Connor Phillips (P),,
29-Mar,2022,Chicago White Sox,Adam Haseley (LF),,,,,,,Philadelphia Phillies,McKinley Moore (P),,,,,
28-Mar,2022,Philadelphia Phillies,Will Toffey (3B),cash considerations,,,,,,San Fancisco Giants,Lucas Williams (SS),,,,,
28-Mar,2022,Los Angeles Dodgers,River Ryan (P),,,,,,,San Diego Padres,Matt Beaty (3B),,,,,
28-Mar,2022,Chicago Cubs,cash considerations,,,,,,,Arizona Diamondbacks,Sergio Alcantara (SS),,,,,
27-Mar,2022,Houston Astros,cash considerations,,,,,,,Miami Marlins,Norel Gonzalez (1B),,,,,
25-Mar,2022,Tampa Bay Rays,Harold Ramirez (RF),,,,,,,Chicago Cubs,Esteban Quiroz (2B),,,,,
18-Mar,2022,New York Yankees,Justin Lange (P),,,,,,,San Diego Padres,Luke Voit (1B),,,,,
18-Mar,2022,Tampa Bay Rays,Luke Raley (CF),,,,,,,Los Angeles Dodgers,Tanner Dodson (P),,,,,
16-Mar,2022,Kansas City Royals,Amir Garrett (RP),,,,,,,Cincinnati Reds,Mike Minor (SP),,,,,
16-Mar,2022,Toronto Blue Jays,Matt Chapman (3B),,,,,,,Oakland Athletics,Gunnar Hoglund (P),Kevin Smith (SS),Zach Logue (SP),Kirby Snead (RP),,
14-Mar,2022,Oakland Athletics,Cristian Pache (CF),Shea Langeliers (C),Joey Estes (P),Ryan Cusick (P),,,,Alanta Braves,Matt Olson (1B),,,,,
13-Mar,2022,New York Yankees,Josh Donaldson (3B),Isiah Kiner-Falefa (SS),Ben Rortvedt (C),,,,,Minnesota Twins,Gary Sanchez ©,Giovanny Urshela (1B),,,,
13-Mar,2022,Cleveland Indians,David Fry (C),,,,,,,Milwaukee Brewers,Jean Carlos Mejia (RP),,,,,
13-Mar,2022,Minnesota Twins,Sonny Gray (SP),Francis Peguero,,,,,,Cincinnati Reds,Chase Petty (P),,,,,
12-Mar,2022,Oakland Athletics,J.T. Ginn (P),Adam Oller (RP),,,,,,New York Mets,Chris Bassitt (SP),,,,,
12-Mar,2022,Minnesota Twins,Isiah Kiner-Falefa (SS),Ronny Henriquez (SP),,,,,,Texas Rangers,Mitch Garver (C),,,,,
9-Dec,2021,Atlanta Braves,cash considerations,,,,,,,San Fancisco Giants,Tanner Andrews (P),,,,,
8-Dec,2021,Baltimore Orioles,Tommy Wilson (P),,,,,,,Seattle Mariners,cash considerations,,,,,
1-Dec,2021,Boston Red Sox,Jackie Bradley Jr. (CF),David Hamilton (SS),Alex Binelas (3B),,,,,Milwaukee Brewers,Hunter Renfroe (RF),,,,,
30-Nov,2021,Tampa Bay Rays,Kameron Misner (CF),,,,,,,Miami Marlins,Joe Wendle (3B),,,,,
30-Nov,2021,San Diego Padres,Jorge Alfaro (C),,,,,,,Miami Marlins,future considerations,,,,,
29-Nov,2021,Pittsburgh Pirates,Zach Thompson (SP),Kyle Nicolas (P),Connor Scott (OF),,,,,Miami Marlins,Jacob Stallings (C),,,,,
27-Nov,2021,Seattle Mariners,Adam Frazier (2B),,,,,,,San Diego Padres,Ray Kerr (RP),Corey Rosier (OF),,,,
26-Nov,2021,Tampa Bay Rays,Ronny Simon (2B),,,,,,,Arizona Diamondbacks,Jordan Luplow (RF),,,,,
22-Nov,2021,Cleveland Indians,David Fry (C),,,,,,,Milwaukee Brewers,Jean Carlos Mejia (RP),,,,,
22-Nov,2021,Chicago Cubs,Harold Ramirez (RF),,,,,,,Cleveland Indians,cash considerations,,,,,
22-Nov,2021,Atlanta Braves,Jay Jackson (RP),,,,,,,San Fancisco Giants,future considerations,,,,,
22-Nov,2021,Texas Rangers,Zach Reks (OF),Billy McKinney (OF),,,,,,Los Angeles Dodgers,cash considerations,,,,,
22-Nov,2021,New York Yankees,future considerations,,,,,,,Los Angeles Angels,Tyler Wade (SS),,,,,
19-Nov,2021,Tampa Bay Rays,Junior Caminero (SS),,,,,,,Cleveland Indians,Tobias Myers (P),,,,,
19-Nov,2021,New York Yankees,T.J. Rumfield (3B),Joel Valdez (),,,,,,Philadelphia Phillies,Nick Nelson (RP),Donny Sands (C),,,,
19-Nov,2021,Philadelphia Phillies,Garrett Stubbs (C),,,,,,,Houston Astros,Logan Cerny (OF),,,,,
19-Nov,2021,Tampa Bay Rays,cash considerations,,,,,,,Oakland Athletics,Brent Honeywell (RP),,,,,
19-Nov,2021,Tampa Bay Rays,Junior Caminero (),,,,,,,Cleveland Indians,Tobias Myers (P),,,,,
14-Nov,2021,Tampa Bay Rays,Josh Roberson (P),,,,,,,Miami Marlins,Louis Head (RP),,,,,
13-Nov,2021,Tampa Bay Rays,Evan Reifert (),,,,,,,Milwaukee Brewers,Michael Brosseau (3B),,,,,
3-Nov,2021,Detroit Tigers,"Tucker Barnhart (C)($7,750,000)",,,,,,,Cincinnati Reds,Nick Quintana (3B),,,,,
